epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,1164.45,0.53901,0.36548,0.81668,0.60389,0.96045,0.70183,0.60518,0.42884,902.856,0.67451,0.00386857,0.00128952,0.00386857,0.00128952,0.00386857,0.00128952,0.00386857,0.00128952
63,1182.62,0.52135,0.35872,0.8171,0.60158,0.96295,0.69752,0.59966,0.43152,897.524,0.67542,0.00385522,0.00128507,0.00385522,0.00128507,0.00385522,0.00128507,0.00385522,0.00128507
64,1200.8,0.52605,0.36019,0.81435,0.60166,0.96503,0.70032,0.60383,0.42696,911.972,0.67597,0.0038417,0.00128057,0.0038417,0.00128057,0.0038417,0.00128057,0.0038417,0.00128057
65,1218.57,0.53002,0.36094,0.81516,0.6023,0.96447,0.7011,0.60396,0.42916,924.195,0.67549,0.00382798,0.00127599,0.00382798,0.00127599,0.00382798,0.00127599,0.00382798,0.00127599
66,1236.64,0.52172,0.35886,0.81481,0.59967,0.96192,0.70275,0.60524,0.42764,926.64,0.67576,0.00381409,0.00127136,0.00381409,0.00127136,0.00381409,0.00127136,0.00381409,0.00127136
67,1254.63,0.52278,0.35431,0.8117,0.6065,0.95687,0.70464,0.60652,0.42958,923.973,0.6766,0.00380001,0.00126667,0.00380001,0.00126667,0.00380001,0.00126667,0.00380001,0.00126667
68,1272.56,0.52762,0.3584,0.81179,0.60493,0.958,0.70347,0.6069,0.42843,926.861,0.67614,0.00378576,0.00126192,0.00378576,0.00126192,0.00378576,0.00126192,0.00378576,0.00126192
69,1290.42,0.51058,0.35202,0.81429,0.60449,0.9593,0.70233,0.60651,0.42996,912.858,0.67619,0.00377133,0.00125711,0.00377133,0.00125711,0.00377133,0.00125711,0.00377133,0.00125711
70,1308.48,0.52114,0.35228,0.81305,0.60488,0.9598,0.70356,0.60838,0.42703,925.971,0.67476,0.00375672,0.00125224,0.00375672,0.00125224,0.00375672,0.00125224,0.00375672,0.00125224
71,1326.66,0.53455,0.35884,0.81089,0.60584,0.95854,0.70267,0.60613,0.42763,914.633,0.67539,0.00374194,0.00124731,0.00374194,0.00124731,0.00374194,0.00124731,0.00374194,0.00124731
72,1345.45,0.52537,0.35295,0.81099,0.60645,0.96159,0.70044,0.60631,0.4249,924.857,0.67436,0.00372698,0.00124233,0.00372698,0.00124233,0.00372698,0.00124233,0.00372698,0.00124233
73,1363.95,0.51042,0.34827,0.80968,0.60255,0.96601,0.70233,0.60585,0.4265,912.188,0.67449,0.00371185,0.00123728,0.00371185,0.00123728,0.00371185,0.00123728,0.00371185,0.00123728
74,1381.98,0.52613,0.35332,0.80934,0.605,0.96593,0.70808,0.61183,0.42574,929.746,0.67443,0.00369656,0.00123219,0.00369656,0.00123219,0.00369656,0.00123219,0.00369656,0.00123219
75,1400.29,0.51618,0.34657,0.81146,0.6059,0.96201,0.70859,0.61286,0.42426,933.524,0.67396,0.00368109,0.00122703,0.00368109,0.00122703,0.00368109,0.00122703,0.00368109,0.00122703
76,1419.01,0.51673,0.3496,0.80924,0.60463,0.96304,0.70678,0.61207,0.42523,921.075,0.67254,0.00366546,0.00122182,0.00366546,0.00122182,0.00366546,0.00122182,0.00366546,0.00122182
77,1437.12,0.51466,0.34761,0.81131,0.60382,0.96342,0.70529,0.60949,0.42438,936.195,0.67213,0.00364967,0.00121656,0.00364967,0.00121656,0.00364967,0.00121656,0.00364967,0.00121656
78,1455.03,0.51795,0.35154,0.81005,0.60308,0.96415,0.70023,0.6038,0.42659,923.968,0.67308,0.00363371,0.00121124,0.00363371,0.00121124,0.00363371,0.00121124,0.00363371,0.00121124
79,1473.31,0.5017,0.34506,0.81336,0.60599,0.96175,0.69781,0.6031,0.42427,938.864,0.67242,0.00361759,0.00120586,0.00361759,0.00120586,0.00361759,0.00120586,0.00361759,0.00120586
80,1491.14,0.51618,0.3447,0.80676,0.60537,0.96465,0.70025,0.60304,0.43029,930.639,0.67349,0.00360131,0.00120044,0.00360131,0.00120044,0.00360131,0.00120044,0.00360131,0.00120044
81,1509.25,0.50855,0.34389,0.81046,0.60621,0.96084,0.69714,0.6029,0.42504,951.533,0.67173,0.00358487,0.00119496,0.00358487,0.00119496,0.00358487,0.00119496,0.00358487,0.00119496
82,1527.43,0.51751,0.3459,0.81115,0.60604,0.96409,0.69563,0.59976,0.42365,935.746,0.67079,0.00356828,0.00118943,0.00356828,0.00118943,0.00356828,0.00118943,0.00356828,0.00118943
83,1545.66,0.51152,0.34752,0.81088,0.60463,0.96544,0.69481,0.60206,0.4218,935.303,0.67096,0.00355154,0.00118385,0.00355154,0.00118385,0.00355154,0.00118385,0.00355154,0.00118385
84,1564.6,0.51031,0.34379,0.80708,0.6054,0.96545,0.69138,0.59762,0.42369,936.864,0.67163,0.00353464,0.00117821,0.00353464,0.00117821,0.00353464,0.00117821,0.00353464,0.00117821
85,1582.55,0.50799,0.3433,0.8107,0.6043,0.96506,0.69292,0.59896,0.4247,939.53,0.67285,0.00351759,0.00117253,0.00351759,0.00117253,0.00351759,0.00117253,0.00351759,0.00117253
86,1600.43,0.51631,0.3433,0.81071,0.60326,0.96629,0.69404,0.59778,0.42613,926.409,0.67306,0.00350039,0.0011668,0.00350039,0.0011668,0.00350039,0.0011668,0.00350039,0.0011668
87,1618.72,0.50532,0.33822,0.80505,0.60494,0.9671,0.69685,0.6024,0.42164,941.969,0.67209,0.00348305,0.00116102,0.00348305,0.00116102,0.00348305,0.00116102,0.00348305,0.00116102
88,1637.66,0.50449,0.33809,0.81026,0.60561,0.96658,0.7004,0.60685,0.42227,945.3,0.67145,0.00346556,0.00115519,0.00346556,0.00115519,0.00346556,0.00115519,0.00346556,0.00115519
89,1656.18,0.50549,0.33787,0.80574,0.60465,0.96609,0.70151,0.60653,0.42233,952.415,0.67271,0.00344793,0.00114931,0.00344793,0.00114931,0.00344793,0.00114931,0.00344793,0.00114931
90,1674.47,0.49723,0.33845,0.80842,0.60519,0.96511,0.70102,0.60532,0.42308,944.855,0.67295,0.00343016,0.00114339,0.00343016,0.00114339,0.00343016,0.00114339,0.00343016,0.00114339
91,1693.35,0.5067,0.3405,0.80621,0.60496,0.96526,0.7017,0.60794,0.42146,944.852,0.67295,0.00341225,0.00113742,0.00341225,0.00113742,0.00341225,0.00113742,0.00341225,0.00113742
92,1712.03,0.49128,0.334,0.81012,0.60499,0.96661,0.70005,0.60639,0.42009,953.745,0.67263,0.00339421,0.0011314,0.00339421,0.0011314,0.00339421,0.0011314,0.00339421,0.0011314
93,1731.28,0.50873,0.33934,0.80956,0.60615,0.96627,0.69702,0.60366,0.42109,940.63,0.67282,0.00337603,0.00112534,0.00337603,0.00112534,0.00337603,0.00112534,0.00337603,0.00112534
94,1750,0.49315,0.33378,0.8074,0.60449,0.96567,0.69861,0.6053,0.42444,956.193,0.67297,0.00335771,0.00111924,0.00335771,0.00111924,0.00335771,0.00111924,0.00335771,0.00111924
95,1768.23,0.50872,0.33723,0.80377,0.60472,0.96475,0.70103,0.60786,0.42287,956.192,0.67185,0.00333927,0.00111309,0.00333927,0.00111309,0.00333927,0.00111309,0.00333927,0.00111309
96,1786.63,0.50771,0.33736,0.80644,0.60728,0.96567,0.70241,0.61155,0.41923,954.854,0.6712,0.00332069,0.0011069,0.00332069,0.0011069,0.00332069,0.0011069,0.00332069,0.0011069
97,1804.83,0.50652,0.34062,0.80526,0.60703,0.96369,0.70148,0.60819,0.42103,946.851,0.6715,0.00330199,0.00110066,0.00330199,0.00110066,0.00330199,0.00110066,0.00330199,0.00110066
98,1823.38,0.50604,0.33637,0.80898,0.60629,0.96599,0.70036,0.6071,0.42158,957.965,0.67195,0.00328317,0.00109439,0.00328317,0.00109439,0.00328317,0.00109439,0.00328317,0.00109439
99,1841.97,0.50461,0.33472,0.8054,0.60649,0.96604,0.69875,0.60493,0.42318,957.078,0.67153,0.00326422,0.00108807,0.00326422,0.00108807,0.00326422,0.00108807,0.00326422,0.00108807
100,1861.07,0.50986,0.33573,0.80455,0.60651,0.96784,0.69455,0.60091,0.42103,957.076,0.67168,0.00324515,0.00108172,0.00324515,0.00108172,0.00324515,0.00108172,0.00324515,0.00108172
101,1879.01,0.49519,0.33429,0.80187,0.60688,0.96601,0.69289,0.59962,0.42339,953.297,0.67148,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
102,1897.65,0.49864,0.33554,0.80456,0.60494,0.96639,0.69117,0.59899,0.42205,959.079,0.67133,0.00320666,0.00106889,0.00320666,0.00106889,0.00320666,0.00106889,0.00320666,0.00106889
103,1916.17,0.4936,0.33054,0.80664,0.60447,0.96664,0.6923,0.59881,0.4227,964.416,0.67199,0.00318725,0.00106242,0.00318725,0.00106242,0.00318725,0.00106242,0.00318725,0.00106242
104,1934.56,0.4889,0.33045,0.80509,0.60591,0.96439,0.6891,0.59533,0.42166,952.631,0.67105,0.00316772,0.00105591,0.00316772,0.00105591,0.00316772,0.00105591,0.00316772,0.00105591
105,1953.26,0.48957,0.32889,0.80291,0.60779,0.96364,0.69251,0.59905,0.42185,957.745,0.67167,0.00314808,0.00104936,0.00314808,0.00104936,0.00314808,0.00104936,0.00314808,0.00104936
